Path,Objective sense,Problem,Format,Dataset,Best known solution value,Best known bound,TSMA,Certificate path
bettinelli2017/C3/BPPC_8_0_6.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,
bettinelli2017/C3/BPPC_8_0_6.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3100,3100,3100,
bettinelli2017/C3/BPPC_8_0_6.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3080,3080,3080,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_6.txt_0.7_solution.txt
bettinelli2017/C3/BPPC_8_0_6.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,2772,2772,2772,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_6.txt_0.8_solution.txt
bettinelli2017/C3/BPPC_8_0_6.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,2153,2153,2153,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_6.txt_0.9_solution.txt
bettinelli2017/C3/BPPC_8_0_7.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_7.txt_0.1_solution.txt
bettinelli2017/C3/BPPC_8_0_7.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_7.txt_0.2_solution.txt
bettinelli2017/C3/BPPC_8_0_7.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_7.txt_0.3_solution.txt
bettinelli2017/C3/BPPC_8_0_7.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_7.txt_0.4_solution.txt
bettinelli2017/C3/BPPC_8_0_7.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,
bettinelli2017/C3/BPPC_8_0_7.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3093,3093,3093,
bettinelli2017/C3/BPPC_8_0_7.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3076,3076,3076,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_7.txt_0.7_solution.txt
bettinelli2017/C3/BPPC_8_0_7.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,2545,2545,2545,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_7.txt_0.8_solution.txt
bettinelli2017/C3/BPPC_8_0_7.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,2070,2070,2070,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_7.txt_0.9_solution.txt
bettinelli2017/C3/BPPC_8_0_8.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_8.txt_0.1_solution.txt
bettinelli2017/C3/BPPC_8_0_8.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_8.txt_0.2_solution.txt
bettinelli2017/C3/BPPC_8_0_8.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_8.txt_0.3_solution.txt
bettinelli2017/C3/BPPC_8_0_8.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_8.txt_0.4_solution.txt
bettinelli2017/C3/BPPC_8_0_8.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,
bettinelli2017/C3/BPPC_8_0_8.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3099,3099,3099,
bettinelli2017/C3/BPPC_8_0_8.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3079,3079,3079,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_8.txt_0.7_solution.txt
bettinelli2017/C3/BPPC_8_0_8.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,2716,2716,2716,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_8.txt_0.8_solution.txt
bettinelli2017/C3/BPPC_8_0_8.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,2167,2167,2167,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_8.txt_0.9_solution.txt
bettinelli2017/C3/BPPC_8_0_9.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_9.txt_0.1_solution.txt
bettinelli2017/C3/BPPC_8_0_9.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_9.txt_0.2_solution.txt
bettinelli2017/C3/BPPC_8_0_9.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_9.txt_0.3_solution.txt
bettinelli2017/C3/BPPC_8_0_9.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_9.txt_0.4_solution.txt
bettinelli2017/C3/BPPC_8_0_9.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,
bettinelli2017/C3/BPPC_8_0_9.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3098,3098,3098,
bettinelli2017/C3/BPPC_8_0_9.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3066,3066,3066,
bettinelli2017/C3/BPPC_8_0_9.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,2667,2667,2667,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_9.txt_0.8_solution.txt
bettinelli2017/C3/BPPC_8_0_9.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,2060,2060,2060,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_9.txt_0.9_solution.txt
bettinelli2017/C3/BPPC_8_0_10.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_10.txt_0.1_solution.txt
bettinelli2017/C3/BPPC_8_0_10.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_10.txt_0.2_solution.txt
bettinelli2017/C3/BPPC_8_0_10.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_10.txt_0.3_solution.txt
bettinelli2017/C3/BPPC_8_0_10.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_10.txt_0.4_solution.txt
bettinelli2017/C3/BPPC_8_0_10.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3110,3110,3110,
bettinelli2017/C3/BPPC_8_0_10.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3094,3094,3094,
bettinelli2017/C3/BPPC_8_0_10.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,3069,3069,3069,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_10.txt_0.7_solution.txt
bettinelli2017/C3/BPPC_8_0_10.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,2567,2567,2567,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_10.txt_0.8_solution.txt
bettinelli2017/C3/BPPC_8_0_10.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1998,1998,1998,certificates/bettinelli2017/bettinelli2017/C3/BPPC_8_0_10.txt_0.9_solution.txt
bettinelli2017/C10/BPPC_1_0_1.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1808,1808,1808,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_1.txt_0.1_solution.txt
bettinelli2017/C10/BPPC_1_0_1.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1601,1601,1601,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_1.txt_0.2_solution.txt
bettinelli2017/C10/BPPC_1_0_1.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1211,1211,1211,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_1.txt_0.3_solution.txt
bettinelli2017/C10/BPPC_1_0_1.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,947,947,947,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_1.txt_0.4_solution.txt
bettinelli2017/C10/BPPC_1_0_1.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,744,744,744,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_1.txt_0.5_solution.txt
bettinelli2017/C10/BPPC_1_0_1.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,623,623,623,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_1.txt_0.6_solution.txt
bettinelli2017/C10/BPPC_1_0_1.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,563,563,563,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_1.txt_0.7_solution.txt
bettinelli2017/C10/BPPC_1_0_1.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,423,423,423,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_1.txt_0.8_solution.txt
bettinelli2017/C10/BPPC_1_0_1.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,325,325,325,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_1.txt_0.9_solution.txt
bettinelli2017/C10/BPPC_1_0_2.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1800,1800,1800,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_2.txt_0.1_solution.txt
bettinelli2017/C10/BPPC_1_0_2.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1570,1570,1570,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_2.txt_0.2_solution.txt
bettinelli2017/C10/BPPC_1_0_2.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1269,1269,1269,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_2.txt_0.3_solution.txt
bettinelli2017/C10/BPPC_1_0_2.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,942,942,942,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_2.txt_0.4_solution.txt
bettinelli2017/C10/BPPC_1_0_2.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,760,760,760,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_2.txt_0.5_solution.txt
bettinelli2017/C10/BPPC_1_0_2.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,648,648,648,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_2.txt_0.6_solution.txt
bettinelli2017/C10/BPPC_1_0_2.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,544,544,544,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_2.txt_0.7_solution.txt
bettinelli2017/C10/BPPC_1_0_2.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,448,448,448,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_2.txt_0.8_solution.txt
bettinelli2017/C10/BPPC_1_0_2.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,301,301,301,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_2.txt_0.9_solution.txt
bettinelli2017/C10/BPPC_1_0_3.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1810,1810,1810,
bettinelli2017/C10/BPPC_1_0_3.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1593,1593,1593,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_3.txt_0.2_solution.txt
bettinelli2017/C10/BPPC_1_0_3.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1308,1308,1308,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_3.txt_0.3_solution.txt
bettinelli2017/C10/BPPC_1_0_3.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,941,941,941,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_3.txt_0.4_solution.txt
bettinelli2017/C10/BPPC_1_0_3.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,825,825,825,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_3.txt_0.5_solution.txt
bettinelli2017/C10/BPPC_1_0_3.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,563,563,563,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_3.txt_0.6_solution.txt
bettinelli2017/C10/BPPC_1_0_3.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,541,541,541,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_3.txt_0.7_solution.txt
bettinelli2017/C10/BPPC_1_0_3.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,412,412,412,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_3.txt_0.8_solution.txt
bettinelli2017/C10/BPPC_1_0_3.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,337,337,337,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_3.txt_0.9_solution.txt
bettinelli2017/C10/BPPC_1_0_4.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1790,1790,1790,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_4.txt_0.1_solution.txt
bettinelli2017/C10/BPPC_1_0_4.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1651,1651,1651,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_4.txt_0.2_solution.txt
bettinelli2017/C10/BPPC_1_0_4.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1283,1283,1283,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_4.txt_0.3_solution.txt
bettinelli2017/C10/BPPC_1_0_4.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,988,988,988,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_4.txt_0.4_solution.txt
bettinelli2017/C10/BPPC_1_0_4.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,778,778,778,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_4.txt_0.5_solution.txt
bettinelli2017/C10/BPPC_1_0_4.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,609,609,609,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_4.txt_0.6_solution.txt
bettinelli2017/C10/BPPC_1_0_4.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,504,504,504,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_4.txt_0.7_solution.txt
bettinelli2017/C10/BPPC_1_0_4.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,496,496,496,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_4.txt_0.8_solution.txt
bettinelli2017/C10/BPPC_1_0_4.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,334,334,334,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_4.txt_0.9_solution.txt
bettinelli2017/C10/BPPC_1_0_5.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1790,1790,1790,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_5.txt_0.1_solution.txt
bettinelli2017/C10/BPPC_1_0_5.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1684,1684,1684,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_5.txt_0.2_solution.txt
bettinelli2017/C10/BPPC_1_0_5.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1291,1291,1291,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_5.txt_0.3_solution.txt
bettinelli2017/C10/BPPC_1_0_5.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,981,981,981,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_5.txt_0.4_solution.txt
bettinelli2017/C10/BPPC_1_0_5.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,787,787,787,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_5.txt_0.5_solution.txt
bettinelli2017/C10/BPPC_1_0_5.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,633,633,633,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_5.txt_0.6_solution.txt
bettinelli2017/C10/BPPC_1_0_5.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,534,534,534,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_5.txt_0.7_solution.txt
bettinelli2017/C10/BPPC_1_0_5.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,418,418,418,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_5.txt_0.8_solution.txt
bettinelli2017/C10/BPPC_1_0_5.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,334,334,334,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_5.txt_0.9_solution.txt
bettinelli2017/C10/BPPC_1_0_6.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1810,1810,1810,
bettinelli2017/C10/BPPC_1_0_6.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1538,1538,1538,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_6.txt_0.2_solution.txt
bettinelli2017/C10/BPPC_1_0_6.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1230,1230,1230,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_6.txt_0.3_solution.txt
bettinelli2017/C10/BPPC_1_0_6.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,944,944,944,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_6.txt_0.4_solution.txt
bettinelli2017/C10/BPPC_1_0_6.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,774,774,774,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_6.txt_0.5_solution.txt
bettinelli2017/C10/BPPC_1_0_6.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,611,611,611,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_6.txt_0.6_solution.txt
bettinelli2017/C10/BPPC_1_0_6.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,500,500,500,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_6.txt_0.7_solution.txt
bettinelli2017/C10/BPPC_1_0_6.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,449,449,449,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_6.txt_0.8_solution.txt
bettinelli2017/C10/BPPC_1_0_6.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,308,308,308,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_6.txt_0.9_solution.txt
bettinelli2017/C10/BPPC_1_0_7.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1800,1800,1800,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_7.txt_0.1_solution.txt
bettinelli2017/C10/BPPC_1_0_7.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1597,1597,1597,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_7.txt_0.2_solution.txt
bettinelli2017/C10/BPPC_1_0_7.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1228,1228,1228,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_7.txt_0.3_solution.txt
bettinelli2017/C10/BPPC_1_0_7.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,861,861,861,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_7.txt_0.4_solution.txt
bettinelli2017/C10/BPPC_1_0_7.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,762,762,762,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_7.txt_0.5_solution.txt
bettinelli2017/C10/BPPC_1_0_7.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,627,627,627,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_7.txt_0.6_solution.txt
bettinelli2017/C10/BPPC_1_0_7.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,547,547,547,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_7.txt_0.7_solution.txt
bettinelli2017/C10/BPPC_1_0_7.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,404,404,404,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_7.txt_0.8_solution.txt
bettinelli2017/C10/BPPC_1_0_7.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,347,347,347,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_7.txt_0.9_solution.txt
bettinelli2017/C10/BPPC_1_0_8.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1790,1790,1790,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_8.txt_0.1_solution.txt
bettinelli2017/C10/BPPC_1_0_8.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1600,1600,1600,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_8.txt_0.2_solution.txt
bettinelli2017/C10/BPPC_1_0_8.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1269,1269,1269,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_8.txt_0.3_solution.txt
bettinelli2017/C10/BPPC_1_0_8.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,998,998,998,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_8.txt_0.4_solution.txt
bettinelli2017/C10/BPPC_1_0_8.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,743,743,743,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_8.txt_0.5_solution.txt
bettinelli2017/C10/BPPC_1_0_8.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,619,619,619,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_8.txt_0.6_solution.txt
bettinelli2017/C10/BPPC_1_0_8.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,499,499,499,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_8.txt_0.7_solution.txt
bettinelli2017/C10/BPPC_1_0_8.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,431,431,431,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_8.txt_0.8_solution.txt
bettinelli2017/C10/BPPC_1_0_8.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,284,284,284,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_8.txt_0.9_solution.txt
bettinelli2017/C10/BPPC_1_0_9.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1790,1790,1790,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_9.txt_0.1_solution.txt
bettinelli2017/C10/BPPC_1_0_9.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1707,1707,1707,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_9.txt_0.2_solution.txt
bettinelli2017/C10/BPPC_1_0_9.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1212,1212,1212,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_9.txt_0.3_solution.txt
bettinelli2017/C10/BPPC_1_0_9.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1035,1035,1035,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_9.txt_0.4_solution.txt
bettinelli2017/C10/BPPC_1_0_9.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,872,872,872,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_9.txt_0.5_solution.txt
bettinelli2017/C10/BPPC_1_0_9.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,595,595,595,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_9.txt_0.6_solution.txt
bettinelli2017/C10/BPPC_1_0_9.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,541,541,541,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_9.txt_0.7_solution.txt
bettinelli2017/C10/BPPC_1_0_9.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,433,433,433,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_9.txt_0.8_solution.txt
bettinelli2017/C10/BPPC_1_0_9.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,340,340,340,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_9.txt_0.9_solution.txt
bettinelli2017/C10/BPPC_1_0_10.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1800,1800,1800,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_10.txt_0.1_solution.txt
bettinelli2017/C10/BPPC_1_0_10.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1676,1676,1676,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_10.txt_0.2_solution.txt
bettinelli2017/C10/BPPC_1_0_10.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,1129,1129,1129,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_10.txt_0.3_solution.txt
bettinelli2017/C10/BPPC_1_0_10.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,939,939,939,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_10.txt_0.4_solution.txt
bettinelli2017/C10/BPPC_1_0_10.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,729,729,729,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_10.txt_0.5_solution.txt
bettinelli2017/C10/BPPC_1_0_10.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,601,601,601,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_10.txt_0.6_solution.txt
bettinelli2017/C10/BPPC_1_0_10.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,534,534,534,certificates/bettinelli2017/bettinelli2017/C10/BPPC_1_0_10.txt_0.7_solution.txt
